,1690,1700,1710,1720,1730,1740,1750,1760,1770,1780,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
Romanian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,11,14,14,15,14,14,15,12,13,15,14,13,13
Russian,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,19,15,15,34,45,69,87,98,94,89,90,96,105,131,98,102,101
Samaritan Aramaic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Samoan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,5,5,7,6,6,6,6
Serbian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,6,13,16,15,16,18,17,14,15,15,17,10,10,10
Slovak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,26,35,40,35,36,27,27,24,22,22,10,11,11
Slovenian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,16,24,28,23,23,21,18,16,16,16,7,7,7
Sorbian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Spanish,24,24,24,24,24,24,24,24,24,24,56,61,64,68,73,91,113,165,226,312,596,578,634,689,742,782,832,1119,1460,1586,1607,1008,996,990
Swedish,6,6,6,6,6,6,6,6,6,6,31,31,31,31,31,31,36,51,93,138,179,180,163,157,152,139,134,131,128,127,129,26,25,25
Syriac,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,3,5,8,6,3,3,3,3,3,3,3,1,1,1
Tagalog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,9,11,12,12,11,11,15,15,7,7,7
Tajik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0
Tamil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Thai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,5,5,6,6,5,5,5
Turkish,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,5,5,5,6,7,6,4,3
Ukrainian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,13,17,29,37,35,37,43,39,39,38,40,25,23,21
Urdu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,6,7,10,10,9,9
Uzbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
Vietnamese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,14,25,26,27,26,25
Welsh,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,5,3,6,8,10,3,3,3,3,3,3,3,3,3,3,2,1,1
Yiddish,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,6,23,54,84,113,144,113,107,97,86,90,87,84,33,33,32
Yupik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
