num_ligne;Année;Origine sociale;Nombre d'admis au baccalaureat général;Pourcentage d'admis au baccalaureat général;Nombre d'admis au baccalauréat technologique;Pourcentage d'admis au baccalauréat technologique;Nombre d'admis au baccalauréat professionnel;Pourcentage d'admis au baccalauréat professionnel;Nombre d'admis au baccalauréat;Pourcentage d'admis au baccalauréat
125;2007;Cadres, professions intellectuelles supérieures : professeurs et assimilés;14097;93.5;2211;84.9;496;83.4;16804;91.9
130;2007;Professions intermédiaires;48971;88.7;22082;82.1;9113;81.7;80166;86.0
139;2008;Ensemble;279698;87.9;135886;80.3;103311;77.0;518895;83.5
141;2008;Ouvriers;32222;82.9;28392;79.0;25167;76.7;85781;79.7
155;2009;Professions intermédiaires : instituteurs et assimilés;5083;93.7;975;85.7;449;92.4;6507;92.3
157;2010;Agriculteurs exploitants;6256;91.9;2612;89.5;2031;91.2;10899;91.2
177;2011;Ouvriers;32051;83.5;25816;81.4;40083;82.7;97950;82.6
178;2011;Professions intermédiaires;46276;89.4;19438;85.0;13880;86.2;79594;87.7
180;2011;Retraités;5377;85.4;3212;79.0;5560;80.8;14149;82.0
181;2012;Agriculteurs exploitants;6121;93.6;2153;91.5;3012;85.3;11286;90.8
182;2012;Artisans, commerçants, chefs d'entreprise;27411;89.8;11525;85.8;17856;81.0;56792;86.1
191;2012;Professions intermédiaires : instituteurs et assimilés;4638;93.8;857;87.6;492;83.5;5987;92.0
193;2013;Agriculteurs exploitants;6169;95.8;2102;93.1;2348;85.8;10619;92.9
198;2013;Employés;48646;90.9;24260;87.2;18720;80.6;91626;87.6
203;2013;Professions intermédiaires : instituteurs et assimilés;4812;95.0;855;90.3;431;82.7;6098;93.4
211;2014;Ensemble;305667;91.0;129210;90.7;190773;82.2;625650;88.0
212;2014;Indéterminé;8777;80.7;10374;83.6;52758;81.0;71909;81.3
217;2015;Agriculteurs exploitants;6049;95.2;1807;94.9;2627;87.3;10483;93.1
219;2015;Autres personnes sans activité professionnelle;22398;83.4;13987;85.4;13395;73.6;49780;81.0
221;2015;Cadres, professions intellectuelles supérieures : professeurs et assimilés;16173;96.0;2176;93.1;813;87.0;19162;95.2
233;2016;Cadres, professions intellectuelles supérieures : professeurs et assimilés;17166;95.9;2197;93.6;881;86.9;20244;95.2
234;2016;Employés;54882;90.4;25517;91.3;21340;83.8;101739;89.1
238;2016;Professions intermédiaires;49909;92.4;17906;92.6;15131;85.9;82946;91.2
248;2017;Indéterminé;9688;81.5;10313;86.3;38873;81.2;58874;82.1
255;2018;Autres personnes sans activité professionnelle;26971;83.5;16404;83.3;15999;75.7;59374;81.2
256;2018;Cadres, professions intellectuelles supérieures;121044;95.1;21637;92.7;13424;88.0;156105;94.1
264;2018;Retraités;5075;90.0;2149;86.6;3667;80.5;10891;85.9
267;2019;Autres personnes sans activité professionnelle;31747;83.8;18736;82.7;14556;74.7;65039;81.3
270;2019;Employés;63279;89.8;29238;88.4;31250;83.1;123767;87.7
273;2019;Ouvriers;37304;88.3;23109;87.7;37618;81.3;98031;85.4
274;2019;Professions intermédiaires;54163;92.2;19776;90.1;15982;85.2;89921;90.4
275;2019;Professions intermédiaires : instituteurs et assimilés;5595;95.0;1045;90.9;920;88.0;7560;93.5
276;2019;Retraités;5386;91.5;2180;87.3;4008;79.4;11574;86.2
278;2020;Artisans, commerçants, chefs d'entreprise;30288;97.9;11086;95.8;12303;91.7;53677;96.0
282;2020;Employés;75889;97.6;35834;95.2;38859;90.6;150582;95.1
286;2020;Professions intermédiaires;58544;98.3;20319;96.3;18817;92.4;97680;96.7
291;2021;Autres personnes sans activité professionnelle;22559;93.0;13263;87.8;23250;78.6;59072;85.7
308;2022;Indéterminé;11720;90.5;10823;89.2;37400;82.7;59943;85.2
314;2023;Artisans, commerçants, chefs d'entreprise;29654;96.0;10384;91.3;10210;86.1;50248;92.8
316;2023;Cadres, professions intellectuelles supérieures : professeurs et assimilés;20018;98.5;2341;94.3;1084;92.3;23443;97.7
318;2023;Ensemble;371830;95.5;133865;89.5;169246;82.6;674941;90.7
325;2024;Agriculteurs exploitants;3912;98.2;1206;96.1;1284;92.9;6402;96.7
329;2024;Cadres, professions intellectuelles supérieures : professeurs et assimilés;20257;98.8;2573;96.3;1213;91.8;24043;98.1
330;2024;Employés;74036;95.4;35019;90.2;37060;83.9;146115;91.0
